Entity,Month,T-Nature Name,Division Name,Vr. Date,Vr. No.,Item Nature,Item Name,Um,Godown Name,Finished + By Product,Finished Materials,Raw Material Consumed,By Product Received,Store Consumables,Rate,Value Issued,Value Received,Dramt
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,99.19,99.19,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,81.6,,,3937.55,321304.0702,0,321304.0702
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,143.76,,,9557.15,1373935.881,0,1373935.881
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,95.72,95.72,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,78.48,,,3937.55,309018.9146,0,309018.9146
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,138.72,,,9557.15,1325767.845,0,1325767.845
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,63.973,,0,63.973,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,95.88,95.88,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,119.04,,,3937.55,468725.9377,0,468725.9377
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,138.96,,,9557.15,1328061.561,0,1328061.561
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,32.8,32.8,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,17.98,,,5213.521,93739.10039,0,93739.10039
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.987,,,725,9415.575,0,9415.575
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,58.468,,,12587.413,735960.858,0,735960.858
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,12.301,,,14984.245,184321.198,0,184321.198
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,1.443,,,1400,2020.2,0,2020.2
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-1,BY PRODUCTS,BED ASH,MT,BY PRODUCT,200,,0,200,,0,0,0,0
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-2,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,305,,,3887.211,1185599.233,0,1185599.233
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-2,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,50,,,700,35000,0,35000
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,75.6,,,3937.55,297678.7709,0,297678.7709
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,24,,,800,19200,0,19200
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,135.6,,,9557.15,1295949.537,0,1295949.537
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,62.037,,0,62.037,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,7,7,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,84.72,84.72,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,119.04,,,3937.55,468725.9377,0,468725.9377
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,IRON ORE,MT,RAW MATERIAL,0,,66.72,,,9007.875,601005.4,0,601005.4
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,68.88,,,9557.15,658296.4906,0,658296.4906
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,96.71,96.71,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,78.24,,,3937.55,308073.9026,0,308073.9026
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,140.16,,,9557.15,1339530.141,0,1339530.141
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,93.56,93.56,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,31.85,31.85,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,17.404,,,5213.521,90736.11252,0,90736.11252
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.598,,,725,9133.55,0,9133.55
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,57.294,,,12587.413,721183.2353,0,721183.2353
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,11.871,,,14984.245,177877.9726,0,177877.9726
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,0.219,,,1400,306.6,0,306.6
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,02-Apr-25,P325402-1,BY PRODUCTS,FLY ASH,MT,BY PRODUCT,1000,,0,1000,,0,0,0,0
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,02-Apr-25,P325402-2,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,560,,,3994.552,2236948.963,0,2236948.963
